registration_area,new_susp,active_confirm,new_death,new_recover,new_confirm
Івано-Франківська,23625,437201,425,9432,19247
Волинська,14624,257387,255,7339,12871
Вінницька,11587,206459,171,5982,9697
Дніпропетровська,15499,263344,335,5469,13915
Донецька,9419,183011,89,1483,9024
Житомирська,14697,201849,226,6971,13154
Закарпатська,14794,433425,359,6152,13571
Запорізька,9632,218170,110,2076,8852
Київська,19162,412258,357,7762,15465
Кіровоградська,4155,30695,84,1158,2212
Луганська,4216,50552,68,1163,3416
Львівська,30657,958384,815,11220,28484
Миколаївська,8826,179915,146,1775,7317
Одеська,24986,810144,351,3271,23207
Полтавська,14921,115358,167,3334,8639
Рівненська,27461,317889,232,13959,18299
Сумська,13039,218724,171,3412,10974
Тернопільська,27892,382881,247,14760,19818
Харківська,36376,979387,515,6497,34441
Херсонська,3802,47986,72,1442,3454
Хмельницька,15641,247648,213,6189,14228
Черкаська,10459,180364,92,3894,8539
Чернівецька,22118,438743,446,10189,20508
Чернігівська,8598,239153,88,1566,8292
м. Київ,49626,1425599,721,12146,35450
